timestamp,available,total,unrealized_pnl,open_positions
2026-02-17T14:56:56.241239,49593.35950385,49994.26814699,1.52190000,2
2026-02-17T14:57:26.249211,49593.32494985,49994.26814699,1.35936000,2
2026-02-17T14:59:43.860166,49593.37233785,49994.26814699,1.59630000,2
2026-02-17T15:00:18.813507,48484.76707237,49991.54166004,2.64170000,3
2026-02-17T15:00:49.181348,49477.68181106,49989.98181439,1.37520000,2
2026-02-17T15:01:24.148473,49477.65979106,49989.98181439,1.59120000,2
2026-02-17T15:01:58.806613,49472.25048266,49984.53883399,1.46496000,2
2026-02-17T15:02:28.809753,49472.19059066,49984.53883399,1.16550000,2
2026-02-17T15:02:59.115335,49464.80535191,49977.35549524,0.15600000,2
2026-02-17T15:03:34.339828,49464.79407191,49977.35549524,0.09960000,2
2026-02-17T15:04:08.808004,49459.34656591,49971.92037324,0.03768000,2
2026-02-17T15:04:44.019425,49459.38954991,49971.92037324,0.25260000,2
2026-02-17T15:05:18.814166,49454.05627671,49966.48035404,0.78633000,2
2026-02-17T15:05:49.533065,49447.90050371,49960.46746504,0.07191000,2
2026-02-17T15:06:23.796059,49447.87316171,49960.46746504,-0.06480000,2
2026-02-17T15:06:53.815108,49441.89349871,49954.45585204,0.09495000,2
2026-02-17T15:07:28.806659,49441.42093891,49954.42865764,-2.50580000,2
2026-02-17T15:07:58.827505,49436.32132586,49949.57203459,-3.72075000,2
2026-02-17T15:09:54.446716,49436.46931586,49949.57203459,-2.98080000,2
2026-02-17T15:10:24.559556,44450.71790216,49935.94093732,2.01740000,3
2026-02-17T15:10:54.568185,44451.82988216,49935.94093732,7.57730000,3
2026-02-17T15:11:29.514057,45440.53349036,49935.54465232,-4.24860000,2
2026-02-17T15:12:10.171177,45435.78378806,49930.54879002,-3.01780000,2
2026-02-17T15:12:40.211400,40859.86470443,49918.04082460,-3.27030000,3
2026-02-17T15:13:10.593897,40861.58210443,49918.04082460,5.31670000,3
2026-02-17T15:13:45.310820,41671.12584364,49915.00901400,-1.12160000,2
2026-02-17T15:14:15.340654,40836.09928164,49912.72090400,9.11480000,3
2026-02-17T15:14:45.482958,40837.65150164,49912.72090400,16.87590000,3
2026-02-17T15:15:16.127739,41675.45932404,49913.36240440,28.77885000,2
2026-02-17T15:15:50.330132,49622.73975891,49915.80019230,0.00000000,0
2026-02-17T15:18:06.466685,49622.84035760,49915.78659510,0.03554000,1
2026-02-17T15:18:36.479432,45390.21860540,49904.23731109,-0.72200000,3
2026-02-17T15:19:06.579298,45391.16823540,49904.23731109,4.02615000,3
2026-02-17T15:19:41.490259,45390.93590540,49904.23731109,2.86450000,3
2026-02-17T15:20:16.473564,45389.85490540,49904.23731109,-2.54050000,3
2026-02-17T15:20:46.476010,45389.56490540,49904.23731109,-3.99050000,3
2026-02-17T15:21:21.486065,45390.26533540,49904.23731109,-0.48835000,3
2026-02-17T15:21:56.466714,45386.85360540,49904.23731109,-17.54700000,3
2026-02-17T15:22:31.481484,45386.48255540,49904.23731109,-19.40225000,3
2026-02-17T15:23:01.492637,45386.85545540,49904.23731109,-17.53775000,3
2026-02-17T15:23:31.539655,45388.67520540,49904.23731109,-8.43900000,3
2026-02-17T15:24:06.601881,45388.24750540,49904.23731109,-10.57750000,3
2026-02-17T15:24:41.532138,45390.95582540,49904.23731109,2.96410000,3
2026-02-17T15:25:11.547018,45390.99563540,49904.23731109,3.16315000,3
2026-02-17T15:25:41.581682,45392.36963540,49904.23731109,10.03315000,3
2026-02-17T15:26:11.588260,45392.77336540,49904.23731109,12.05180000,3
2026-02-17T15:26:46.696986,45390.60900540,49904.23731109,1.23000000,3
2026-02-17T15:27:21.598205,45390.21580540,49904.23731109,-0.73600000,3
2026-02-17T15:27:51.603364,45389.80930540,49904.23731109,-5.52050000,3
2026-02-17T15:28:21.626381,45388.30930540,49904.23731109,-10.26850000,3
2026-02-17T15:28:51.639847,45387.54974540,49904.23731109,-14.06630000,3
2026-02-17T15:29:21.671122,45386.00141540,49904.23731109,-21.80795000,3
2026-02-17T15:29:51.717263,45388.70129540,49904.23731109,-8.30855000,3
2026-02-17T15:30:26.669549,45388.76340540,49904.23731109,-7.99800000,3
2026-02-17T15:31:01.659208,45388.62587540,49904.23731109,-8.68565000,3
2026-02-17T15:31:31.697991,45388.08698540,49904.23731109,-11.38010000,3
2026-02-17T15:32:06.721880,45389.03370540,49904.23731109,-6.64650000,3
2026-02-17T15:32:41.682120,45389.13590540,49904.23731109,-6.13550000,3
2026-02-17T15:33:11.682851,45388.01654540,49904.23731109,-11.73230000,3
2026-02-17T15:33:41.710684,45390.47485540,49904.23731109,0.55925000,3
2026-02-17T15:34:11.718274,45390.90317540,49904.23731109,2.70085000,3
2026-02-17T15:34:46.727838,45389.57010540,49904.23731109,-3.96450000,3
2026-02-17T15:35:21.732821,45387.66830540,49904.23731109,-13.47350000,3
2026-02-17T15:35:51.740145,45381.35280540,49904.23731109,-45.05100000,3
2026-02-17T15:36:21.789874,45381.58093540,49904.23731109,-43.91035000,3
2026-02-17T15:36:51.790226,45380.09150540,49904.23731109,-51.35750000,3
2026-02-17T15:37:21.805076,45380.44671540,49904.23731109,-49.58145000,3
2026-02-17T15:37:51.842748,45379.57629540,49904.23731109,-53.93355000,3
2026-02-17T15:38:26.835042,45380.87580540,49904.23731109,-47.43600000,3
2026-02-17T15:38:56.841285,45381.70573540,49904.23731109,-43.28635000,3
2026-02-17T15:39:31.820452,45381.94875540,49904.23731109,-42.07125000,3
2026-02-17T15:40:01.851176,45384.32087540,49904.23731109,-30.21065000,3
2026-02-17T15:40:31.887859,45384.58616540,49904.23731109,-28.88420000,3
2026-02-17T15:41:06.865612,45383.37970540,49904.23731109,-34.91650000,3
2026-02-17T15:41:36.866713,45383.58829540,49904.23731109,-33.87355000,3
2026-02-17T15:42:06.934942,45384.28178540,49904.23731109,-30.40610000,3
2026-02-17T15:42:41.910342,45383.94975540,49904.23731109,-32.06625000,3
2026-02-17T15:43:16.913690,45383.68990540,49904.23731109,-33.36550000,3
2026-02-17T15:43:46.924406,45385.05188540,49904.23731109,-26.55560000,3
2026-02-17T15:44:16.946273,45385.95030540,49904.23731109,-22.06350000,3
2026-02-17T15:44:47.075947,45386.25792540,49904.23731109,-20.52540000,3
2026-02-17T15:45:21.937721,45387.30040540,49904.23731109,-15.31300000,3
2026-02-17T15:45:56.937306,45389.64069540,49904.23731109,-3.61155000,3
2026-02-17T15:46:26.980249,45391.19843540,49904.23731109,4.17715000,3
2026-02-17T15:47:01.965444,45392.88249540,49904.23731109,12.59745000,3
2026-02-17T15:47:36.966540,45391.96908540,49904.23731109,8.03040000,3
2026-02-17T15:48:06.982866,45393.18620540,49904.23731109,14.11600000,3
2026-02-17T15:48:36.987942,45394.34025540,49904.23731109,19.88625000,3
2026-02-17T15:49:10.426775,45394.47240540,49904.23731109,20.54700000,3
2026-02-17T15:49:41.994881,45394.17126540,49904.23731109,19.04130000,3
2026-02-17T15:50:12.039504,45395.65869540,49904.23731109,26.47845000,3
2026-02-17T15:50:47.023787,45396.45566540,49904.23731109,30.46330000,3
2026-02-17T15:51:17.669120,45396.75594540,49904.23731109,31.96470000,3
2026-02-17T15:51:52.086312,45399.61297540,49904.23731109,46.24985000,3
2026-02-17T15:52:27.068860,45398.36416540,49904.23731109,40.00580000,3
2026-02-17T15:53:02.090352,45397.40460540,49904.23731109,35.20800000,3
2026-02-17T15:53:37.060103,45396.81170540,49904.23731109,32.24350000,3
2026-02-17T15:54:07.138119,45396.31510540,49904.23731109,29.76050000,3
2026-02-17T15:54:42.102615,45396.33652540,49904.23731109,29.86760000,3
2026-02-17T15:55:12.206729,45395.88445540,49904.23731109,27.60725000,3
2026-02-17T15:55:47.163883,45396.43553540,49904.23731109,30.36265000,3
2026-02-17T15:56:17.187375,45393.79059540,49904.23731109,17.13795000,3
2026-02-17T15:56:47.198320,45395.48634540,49904.23731109,25.61670000,3
2026-02-17T15:57:17.214368,45396.42184540,49904.23731109,30.29420000,3
2026-02-17T15:57:47.219663,45402.08860540,49904.23731109,58.62800000,3
2026-02-17T15:58:17.356308,45406.74100540,49904.23731109,81.89000000,3
2026-02-17T15:58:47.364743,45406.62880540,49904.23731109,81.32900000,3
2026-02-17T15:59:22.409226,45404.09190540,49904.23731109,68.10850000,3
2026-02-17T15:59:57.338031,45404.94281540,49904.23731109,72.89905000,3
2026-02-17T16:00:27.528274,45403.62325540,49904.23731109,66.30125000,3
2026-02-17T16:01:02.606327,45403.77817540,49904.23731109,67.07585000,3
2026-02-17T16:01:37.415844,45403.66800540,49904.23731109,66.52500000,3
2026-02-17T16:02:10.184053,45402.66870540,49904.23731109,61.52850000,3
2026-02-17T16:02:42.429048,45404.06020540,49904.23731109,68.48600000,3
2026-02-17T16:03:12.432320,45409.42731540,49904.23731109,95.32155000,3
2026-02-17T16:03:42.654083,45409.69702540,49904.23731109,96.67010000,3
2026-02-17T16:04:17.462128,45411.55830540,49904.23731109,105.97650000,3
2026-02-17T16:04:52.462628,45411.69686540,49904.23731109,106.66930000,3
2026-02-17T16:05:22.475557,45413.58670540,49904.23731109,116.11850000,3
2026-02-17T16:05:52.478012,45411.60850540,49904.23731109,106.22750000,3
2026-02-17T16:06:27.503081,45412.63297540,49904.23731109,111.34985000,3
2026-02-17T16:07:02.490957,45411.06560540,49904.23731109,100.51715000,3
